tanggal,komoditas,model,horizon_bulan,prediksi_ketersediaan,satuan,validation_sMAPE_pct
2028-11-01,Beras,Global LSTM,35,56097.42661816275,Ton,11.412076
2028-12-01,Beras,Global LSTM,36,55959.961925566546,Ton,11.412076
2026-01-01,Daging Ayam Ras,Global LSTM,1,17126.90577773359,Ton,6.864736
2026-02-01,Daging Ayam Ras,Global LSTM,2,16574.39106727633,Ton,6.864736
2026-03-01,Daging Ayam Ras,Global LSTM,3,16008.051302260323,Ton,6.864736
2026-04-01,Daging Ayam Ras,Global LSTM,4,15432.576567969381,Ton,6.864736
2026-05-01,Daging Ayam Ras,Global LSTM,5,14861.353291948626,Ton,6.864736
2026-06-01,Daging Ayam Ras,Global LSTM,6,14252.101346915508,Ton,6.864736
2026-07-01,Daging Ayam Ras,Global LSTM,7,13684.623496218257,Ton,6.864736
2026-08-01,Daging Ayam Ras,Global LSTM,8,13129.770092953362,Ton,6.864736
2026-09-01,Daging Ayam Ras,Global LSTM,9,12573.699475303207,Ton,6.864736
2026-10-01,Daging Ayam Ras,Global LSTM,10,12081.185814238137,Ton,6.864736
2026-11-01,Daging Ayam Ras,Global LSTM,11,11576.253831130189,Ton,6.864736
2026-12-01,Daging Ayam Ras,Global LSTM,12,11202.54361551827,Ton,6.864736
2027-01-01,Daging Ayam Ras,Global LSTM,13,10796.841957941268,Ton,6.864736
2027-02-01,Daging Ayam Ras,Global LSTM,14,10428.593576701733,Ton,6.864736
2027-03-01,Daging Ayam Ras,Global LSTM,15,10082.32539102267,Ton,6.864736
2027-04-01,Daging Ayam Ras,Global LSTM,16,9757.263698020355,Ton,6.864736
2027-05-01,Daging Ayam Ras,Global LSTM,17,9452.613303064285,Ton,6.864736
2027-06-01,Daging Ayam Ras,Global LSTM,18,9167.459830019145,Ton,6.864736
2027-07-01,Daging Ayam Ras,Global LSTM,19,8901.017364781452,Ton,6.864736
2027-08-01,Daging Ayam Ras,Global LSTM,20,8652.140494938107,Ton,6.864736
2027-09-01,Daging Ayam Ras,Global LSTM,21,8419.850369113488,Ton,6.864736
2027-10-01,Daging Ayam Ras,Global LSTM,22,8203.242868596872,Ton,6.864736
2027-11-01,Daging Ayam Ras,Global LSTM,23,8001.184303746128,Ton,6.864736
2027-12-01,Daging Ayam Ras,Global LSTM,24,7812.920998077928,Ton,6.864736
2028-01-01,Daging Ayam Ras,Global LSTM,25,7637.147327975979,Ton,6.864736
2028-02-01,Daging Ayam Ras,Global LSTM,26,7473.340164785943,Ton,6.864736
2028-03-01,Daging Ayam Ras,Global LSTM,27,7320.679402989018,Ton,6.864736
2028-04-01,Daging Ayam Ras,Global LSTM,28,7177.8340196318195,Ton,6.864736
2028-05-01,Daging Ayam Ras,Global LSTM,29,7044.078179812063,Ton,6.864736
2028-06-01,Daging Ayam Ras,Global LSTM,30,6919.316636015653,Ton,6.864736
2028-07-01,Daging Ayam Ras,Global LSTM,31,6802.964226591889,Ton,6.864736
2028-08-01,Daging Ayam Ras,Global LSTM,32,6694.47095820297,Ton,6.864736
2028-09-01,Daging Ayam Ras,Global LSTM,33,6593.322005823991,Ton,6.864736
2028-10-01,Daging Ayam Ras,Global LSTM,34,6499.034782050202,Ton,6.864736
2028-11-01,Daging Ayam Ras,Global LSTM,35,6411.152587262735,Ton,6.864736
2028-12-01,Daging Ayam Ras,Global LSTM,36,6329.25437860441,Ton,6.864736
2026-01-01,Daging Sapi/Kerbau,SARIMA,1,2846.8528733482954,Ton,12.908593
2026-02-01,Daging Sapi/Kerbau,SARIMA,2,4601.97829922221,Ton,12.908593
2026-03-01,Daging Sapi/Kerbau,SARIMA,3,4669.752142885472,Ton,12.908593
2026-04-01,Daging Sapi/Kerbau,SARIMA,4,4666.063085335873,Ton,12.908593
2026-05-01,Daging Sapi/Kerbau,SARIMA,5,5429.687137672612,Ton,12.908593
2026-06-01,Daging Sapi/Kerbau,SARIMA,6,4329.131552858994,Ton,12.908593
2026-07-01,Daging Sapi/Kerbau,SARIMA,7,4173.300933819605,Ton,12.908593
2026-08-01,Daging Sapi/Kerbau,SARIMA,8,4644.224500668601,Ton,12.908593
2026-09-01,Daging Sapi/Kerbau,SARIMA,9,4300.063512958282,Ton,12.908593
2026-10-01,Daging Sapi/Kerbau,SARIMA,10,5366.9246992398685,Ton,12.908593
2026-11-01,Daging Sapi/Kerbau,SARIMA,11,3376.6930368011417,Ton,12.908593
2026-12-01,Daging Sapi/Kerbau,SARIMA,12,4760.781868451215,Ton,12.908593
2027-01-01,Daging Sapi/Kerbau,SARIMA,13,4441.2254258004195,Ton,12.908593
2027-02-01,Daging Sapi/Kerbau,SARIMA,14,6196.350851674333,Ton,12.908593
2027-03-01,Daging Sapi/Kerbau,SARIMA,15,6264.124695337595,Ton,12.908593
2027-04-01,Daging Sapi/Kerbau,SARIMA,16,6260.435637787997,Ton,12.908593
2027-05-01,Daging Sapi/Kerbau,SARIMA,17,7024.059690124735,Ton,12.908593
2027-06-01,Daging Sapi/Kerbau,SARIMA,18,5923.504105311116,Ton,12.908593
2027-07-01,Daging Sapi/Kerbau,SARIMA,19,5767.6734862717285,Ton,12.908593
2027-08-01,Daging Sapi/Kerbau,SARIMA,20,6238.597053120724,Ton,12.908593
2027-09-01,Daging Sapi/Kerbau,SARIMA,21,5894.436065410405,Ton,12.908593
2027-10-01,Daging Sapi/Kerbau,SARIMA,22,6961.297251691992,Ton,12.908593
2027-11-01,Daging Sapi/Kerbau,SARIMA,23,4971.065589253265,Ton,12.908593
2027-12-01,Daging Sapi/Kerbau,SARIMA,24,6355.154420903337,Ton,12.908593
2028-01-01,Daging Sapi/Kerbau,SARIMA,25,6035.597978252543,Ton,12.908593
2028-02-01,Daging Sapi/Kerbau,SARIMA,26,7790.723404126456,Ton,12.908593
2028-03-01,Daging Sapi/Kerbau,SARIMA,27,7858.497247789718,Ton,12.908593
2028-04-01,Daging Sapi/Kerbau,SARIMA,28,7854.80819024012,Ton,12.908593
2028-05-01,Daging Sapi/Kerbau,SARIMA,29,8618.432242576859,Ton,12.908593
2028-06-01,Daging Sapi/Kerbau,SARIMA,30,7517.87665776324,Ton,12.908593
2028-07-01,Daging Sapi/Kerbau,SARIMA,31,7362.046038723852,Ton,12.908593
2028-08-01,Daging Sapi/Kerbau,SARIMA,32,7832.969605572847,Ton,12.908593
2028-09-01,Daging Sapi/Kerbau,SARIMA,33,7488.808617862528,Ton,12.908593
2028-10-01,Daging Sapi/Kerbau,SARIMA,34,8555.669804144116,Ton,12.908593
2028-11-01,Daging Sapi/Kerbau,SARIMA,35,6565.438141705389,Ton,12.908593
2028-12-01,Daging Sapi/Kerbau,SARIMA,36,7949.526973355461,Ton,12.908593
2026-01-01,Gula Pasir,Seasonal Naive,1,1475.0500000000002,Ton,56.561563
2026-02-01,Gula Pasir,Seasonal Naive,2,5893.412160389776,Ton,56.561563
2026-03-01,Gula Pasir,Seasonal Naive,3,4134.085435968993,Ton,56.561563
2026-04-01,Gula Pasir,Seasonal Naive,4,2950.015435968994,Ton,56.561563
2026-05-01,Gula Pasir,Seasonal Naive,5,5953.001794961243,Ton,56.561563
2026-06-01,Gula Pasir,Seasonal Naive,6,2684.465435968995,Ton,56.561563
2026-07-01,Gula Pasir,Seasonal Naive,7,4505.165435968995,Ton,56.561563
2026-08-01,Gula Pasir,Seasonal Naive,8,12543.501794961245,Ton,56.561563
2026-09-01,Gula Pasir,Seasonal Naive,9,16181.145435968996,Ton,56.561563
2026-10-01,Gula Pasir,Seasonal Naive,10,28593.841794961245,Ton,56.561563
2026-11-01,Gula Pasir,Seasonal Naive,11,8267.376358992247,Ton,56.561563
2026-12-01,Gula Pasir,Seasonal Naive,12,10751.3,Ton,56.561563
2027-01-01,Gula Pasir,Seasonal Naive,13,1475.0500000000002,Ton,56.561563
2027-02-01,Gula Pasir,Seasonal Naive,14,5893.412160389776,Ton,56.561563
2027-03-01,Gula Pasir,Seasonal Naive,15,4134.085435968993,Ton,56.561563
2027-04-01,Gula Pasir,Seasonal Naive,16,2950.015435968994,Ton,56.561563
2027-05-01,Gula Pasir,Seasonal Naive,17,5953.001794961243,Ton,56.561563
2027-06-01,Gula Pasir,Seasonal Naive,18,2684.465435968995,Ton,56.561563
2027-07-01,Gula Pasir,Seasonal Naive,19,4505.165435968995,Ton,56.561563
2027-08-01,Gula Pasir,Seasonal Naive,20,12543.501794961245,Ton,56.561563
2027-09-01,Gula Pasir,Seasonal Naive,21,16181.145435968996,Ton,56.561563
2027-10-01,Gula Pasir,Seasonal Naive,22,28593.841794961245,Ton,56.561563
2027-11-01,Gula Pasir,Seasonal Naive,23,8267.376358992247,Ton,56.561563
2027-12-01,Gula Pasir,Seasonal Naive,24,10751.3,Ton,56.561563
2028-01-01,Gula Pasir,Seasonal Naive,25,1475.0500000000002,Ton,56.561563
2028-02-01,Gula Pasir,Seasonal Naive,26,5893.412160389776,Ton,56.561563
2028-03-01,Gula Pasir,Seasonal Naive,27,4134.085435968993,Ton,56.561563
2028-04-01,Gula Pasir,Seasonal Naive,28,2950.015435968994,Ton,56.561563
2028-05-01,Gula Pasir,Seasonal Naive,29,5953.001794961243,Ton,56.561563
2028-06-01,Gula Pasir,Seasonal Naive,30,2684.465435968995,Ton,56.561563
2028-07-01,Gula Pasir,Seasonal Naive,31,4505.165435968995,Ton,56.561563
2028-08-01,Gula Pasir,Seasonal Naive,32,12543.501794961245,Ton,56.561563
2028-09-01,Gula Pasir,Seasonal Naive,33,16181.145435968996,Ton,56.561563
2028-10-01,Gula Pasir,Seasonal Naive,34,28593.841794961245,Ton,56.561563
2028-11-01,Gula Pasir,Seasonal Naive,35,8267.376358992247,Ton,56.561563
2028-12-01,Gula Pasir,Seasonal Naive,36,10751.3,Ton,56.561563
2026-01-01,Jagung,SARIMA,1,417.3099110512384,Ton,54.932103
2026-02-01,Jagung,SARIMA,2,1399.0120760179523,Ton,54.932103
2026-03-01,Jagung,SARIMA,3,941.7542825467103,Ton,54.932103
2026-04-01,Jagung,SARIMA,4,1150.3970268971264,Ton,54.932103
2026-05-01,Jagung,SARIMA,5,1321.3329159508835,Ton,54.932103
2026-06-01,Jagung,SARIMA,6,1168.226371694013,Ton,54.932103
2026-07-01,Jagung,SARIMA,7,1095.366756470404,Ton,54.932103
2026-08-01,Jagung,SARIMA,8,2105.0835664281567,Ton,54.932103
2026-09-01,Jagung,SARIMA,9,1874.4987648820975,Ton,54.932103
2026-10-01,Jagung,SARIMA,10,2641.690974575997,Ton,54.932103
2026-11-01,Jagung,SARIMA,11,1399.0400221396317,Ton,54.932103
2026-12-01,Jagung,SARIMA,12,796.2357159075526,Ton,54.932103
2027-01-01,Jagung,SARIMA,13,598.520533953542,Ton,54.932103
2027-02-01,Jagung,SARIMA,14,1544.504000488321,Ton,54.932103
2027-03-01,Jagung,SARIMA,15,1119.7238083304155,Ton,54.932103
2027-04-01,Jagung,SARIMA,16,1298.8359529284912,Ton,54.932103
2027-05-01,Jagung,SARIMA,17,1496.6228496450226,Ton,54.932103
2027-06-01,Jagung,SARIMA,18,1319.1017449473597,Ton,54.932103
2027-07-01,Jagung,SARIMA,19,1268.4413249645122,Ton,54.932103
2027-08-01,Jagung,SARIMA,20,2257.973283733461,Ton,54.932103
2027-09-01,Jagung,SARIMA,21,2045.7417699122673,Ton,54.932103
2027-10-01,Jagung,SARIMA,22,2796.246060177832,Ton,54.932103
2027-11-01,Jagung,SARIMA,23,1568.7687735729728,Ton,54.932103
2027-12-01,Jagung,SARIMA,24,952.1676524800009,Ton,54.932103
2028-01-01,Jagung,SARIMA,25,766.9973691957965,Ton,54.932103
2028-02-01,Jagung,SARIMA,26,1701.5742549927427,Ton,54.932103
2028-03-01,Jagung,SARIMA,27,1287.165616049679,Ton,54.932103
2028-04-01,Jagung,SARIMA,28,1456.8473170678026,Ton,54.932103
2028-05-01,Jagung,SARIMA,29,1663.208943554548,Ton,54.932103
2028-06-01,Jagung,SARIMA,30,1477.8911758464092,Ton,54.932103
