tanggal,komoditas,nilai,satuan,tahun,bulan,split,nilai_norm_train_minmax,source_file,source_sheet,nama_asli,catatan
2022-11-01,Beras,23849.45,Ton,2022,11,train,0.09740992945095282,lap .bln 22.xlsx,22,Beras,
2022-12-01,Beras,24135.453,Ton,2022,12,train,0.10435583797852287,lap .bln 22.xlsx,22,Beras,
2023-01-01,Beras,28633.903000000002,Ton,2023,1,validation,0.2136058186285419,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-02-01,Beras,28942.907,Ton,2023,2,validation,0.22111033263242724,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-03-01,Beras,33727.515,Ton,2023,3,validation,0.3373099861615153,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-04-01,Beras,39382.543,Ton,2023,4,validation,0.4746487805407605,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-05-01,Beras,32001.42,Ton,2023,5,validation,0.2953898035763816,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-06-01,Beras,31983.130000000005,Ton,2023,6,validation,0.29494561009949777,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-07-01,Beras,33458.93000000002,Ton,2023,7,validation,0.3307870935978805,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-08-01,Beras,33615.19999999998,Ton,2023,8,validation,0.3345822884930498,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-09-01,Beras,32876.05000000002,Ton,2023,9,validation,0.31663118907048027,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-10-01,Beras,40823.06,Ton,2023,10,validation,0.509633376207273,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-11-01,Beras,40105.9,Ton,2023,11,validation,0.4922163289747891,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-12-01,Beras,41635.36,Ton,2023,12,validation,0.5293610066759924,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2024-01-01,Beras,56839.629999999976,Ton,2024,1,stress_test,0.8986140167789527,rekap ketersediaan 2024.xlsx,Sheet1,Beras Medium + Beras Premium,Beras total dihitung dari Beras Medium + Beras Premium; Jan–Mei Medium kosong.
2024-02-01,Beras,47695.45,Ton,2024,2,stress_test,0.6765371929706879,rekap ketersediaan 2024.xlsx,Sheet1,Beras Medium + Beras Premium,Beras total dihitung dari Beras Medium + Beras Premium; Jan–Mei Medium kosong.
2024-03-01,Beras,59906.188654269725,Ton,2024,3,stress_test,0.9730888855984613,rekap ketersediaan 2024.xlsx,Sheet1,Beras Medium + Beras Premium,Beras total dihitung dari Beras Medium + Beras Premium; Jan–Mei Medium kosong.
2024-04-01,Beras,67757.71996403077,Ton,2024,4,stress_test,1.1637722640208983,rekap ketersediaan 2024.xlsx,Sheet1,Beras Medium + Beras Premium,Beras total dihitung dari Beras Medium + Beras Premium; Jan–Mei Medium kosong.
2024-05-01,Beras,78867.80996403066,Ton,2024,5,stress_test,1.433593450767435,rekap ketersediaan 2024.xlsx,Sheet1,Beras Medium + Beras Premium,Beras total dihitung dari Beras Medium + Beras Premium; Jan–Mei Medium kosong.
2024-06-01,Beras,107445.43648720134,Ton,2024,6,stress_test,2.1276336523212738,rekap ketersediaan 2024.xlsx,Sheet1,Beras Medium + Beras Premium,Beras total dihitung dari Beras Medium + Beras Premium; Jan–Mei Medium kosong.
2024-07-01,Beras,88538.99315386804,Ton,2024,7,stress_test,1.668469147141191,rekap ketersediaan 2024.xlsx,Sheet1,Beras Medium + Beras Premium,Beras total dihitung dari Beras Medium + Beras Premium; Jan–Mei Medium kosong.
2024-08-01,Beras,126877.15992806168,Ton,2024,8,stress_test,2.599555183050861,rekap ketersediaan 2024.xlsx,Sheet1,Beras Medium + Beras Premium,Beras total dihitung dari Beras Medium + Beras Premium; Jan–Mei Medium kosong.
2024-09-01,Beras,138480.91670225523,Ton,2024,9,stress_test,2.8813656295486934,rekap ketersediaan 2024.xlsx,Sheet1,Beras Medium + Beras Premium,Beras total dihitung dari Beras Medium + Beras Premium; Jan–Mei Medium kosong.
2024-10-01,Beras,159617.49412161,Ton,2024,10,stress_test,3.3946914804689303,rekap ketersediaan 2024.xlsx,Sheet1,Beras Medium + Beras Premium,Beras total dihitung dari Beras Medium + Beras Premium; Jan–Mei Medium kosong.
2024-11-01,Beras,165452.61947644872,Ton,2024,11,stress_test,3.5364041441878915,rekap ketersediaan 2024.xlsx,Sheet1,Beras Medium + Beras Premium,Beras total dihitung dari Beras Medium + Beras Premium; Jan–Mei Medium kosong.
2024-12-01,Beras,206400.1505732231,Ton,2024,12,stress_test,4.530861563963293,rekap ketersediaan 2024.xlsx,Sheet1,Beras Medium + Beras Premium,Beras total dihitung dari Beras Medium + Beras Premium; Jan–Mei Medium kosong.
2019-01-01,Jagung,892.5,Ton,2019,1,train,1.0,Ketersediaan bapok 12-19 .xlsx,2019,Jagung,
2019-02-01,Jagung,336.0,Ton,2019,2,train,0.3764705882352941,Ketersediaan bapok 12-19 .xlsx,2019,Jagung,
2019-03-01,Jagung,630.0,Ton,2019,3,train,0.7058823529411765,Ketersediaan bapok 12-19 .xlsx,2019,Jagung,
2019-04-01,Jagung,225.75,Ton,2019,4,train,0.2529411764705882,Ketersediaan bapok 12-19 .xlsx,2019,Jagung,
2019-05-01,Jagung,190.0,Ton,2019,5,train,0.21288515406162464,Ketersediaan bapok 12-19 .xlsx,2019,Jagung,
2019-06-01,Jagung,70.0,Ton,2019,6,train,0.0784313725490196,Ketersediaan bapok 12-19 .xlsx,2019,Jagung,
2019-07-01,Jagung,340.0,Ton,2019,7,train,0.38095238095238093,Ketersediaan bapok 12-19 .xlsx,2019,Jagung,
2019-08-01,Jagung,590.0,Ton,2019,8,train,0.6610644257703081,Ketersediaan bapok 12-19 .xlsx,2019,Jagung,
2019-09-01,Jagung,305.0,Ton,2019,9,train,0.34173669467787116,Ketersediaan bapok 12-19 .xlsx,2019,Jagung,
2019-10-01,Jagung,125.0,Ton,2019,10,train,0.1400560224089636,Ketersediaan bapok 12-19 .xlsx,2019,Jagung,
2019-11-01,Jagung,25.0,Ton,2019,11,train,0.028011204481792718,Ketersediaan bapok 12-19 .xlsx,2019,Jagung,
2019-12-01,Jagung,25.0,Ton,2019,12,train,0.028011204481792718,Ketersediaan bapok 12-19 .xlsx,2019,Jagung,
2020-01-01,Jagung,75.0,Ton,2020,1,train,0.08403361344537816,lap .bln 20 .xlsx,20,Jagung,
2020-02-01,Jagung,160.0,Ton,2020,2,train,0.1792717086834734,lap .bln 20 .xlsx,20,Jagung,
2020-03-01,Jagung,130.0,Ton,2020,3,train,0.14565826330532214,lap .bln 20 .xlsx,20,Jagung,
2020-04-01,Jagung,225.75,Ton,2020,4,train,0.2529411764705882,lap .bln 20 .xlsx,20,Jagung,
2020-05-01,Jagung,190.0,Ton,2020,5,train,0.21288515406162464,lap .bln 20 .xlsx,20,Jagung,
2020-06-01,Jagung,53.8,Ton,2020,6,train,0.060280112044817924,lap .bln 20 .xlsx,20,Jagung,
2020-07-01,Jagung,181.777,Ton,2020,7,train,0.20367170868347337,lap .bln 20 .xlsx,20,Jagung,
2020-08-01,Jagung,7.1,Ton,2020,8,train,0.007955182072829131,lap .bln 20 .xlsx,20,Jagung,
2020-09-01,Jagung,0.0,Ton,2020,9,train,0.0,lap .bln 20 .xlsx,20,Jagung,
2020-10-01,Jagung,105.921,Ton,2020,10,train,0.11867899159663867,lap .bln 20 .xlsx,20,Jagung,
2020-11-01,Jagung,12.254,Ton,2020,11,train,0.013729971988795518,lap .bln 20 .xlsx,20,Jagung,
2020-12-01,Jagung,8.283,Ton,2020,12,train,0.009280672268907563,lap .bln 20 .xlsx,20,Jagung,
2021-01-01,Jagung,353.0,Ton,2021,1,train,0.39551820728291315,lap .bln 21 .xlsx,21,Jagung,
2021-02-01,Jagung,374.0,Ton,2021,2,train,0.41904761904761906,lap .bln 21 .xlsx,21,Jagung,
2021-03-01,Jagung,202.0,Ton,2021,3,train,0.22633053221288515,lap .bln 21 .xlsx,21,Jagung,
2021-04-01,Jagung,128.0,Ton,2021,4,train,0.1434173669467787,lap .bln 21 .xlsx,21,Jagung,
2021-05-01,Jagung,33.0,Ton,2021,5,train,0.03697478991596639,lap .bln 21 .xlsx,21,Jagung,
2021-06-01,Jagung,93.0,Ton,2021,6,train,0.10420168067226891,lap .bln 21 .xlsx,21,Jagung,
2021-07-01,Jagung,134.0,Ton,2021,7,train,0.15014005602240896,lap .bln 21 .xlsx,21,Jagung,
2021-08-01,Jagung,189.0,Ton,2021,8,train,0.21176470588235294,lap .bln 21 .xlsx,21,Jagung,
2021-09-01,Jagung,45.0,Ton,2021,9,train,0.05042016806722689,lap .bln 21 .xlsx,21,Jagung,
2021-10-01,Jagung,16.0,Ton,2021,10,train,0.017927170868347338,lap .bln 21 .xlsx,21,Jagung,
2021-11-01,Jagung,227.0,Ton,2021,11,train,0.25434173669467786,lap .bln 21 .xlsx,21,Jagung,
2021-12-01,Jagung,475.0,Ton,2021,12,train,0.5322128851540616,lap .bln 21 .xlsx,21,Jagung,
2022-01-01,Jagung,178.0,Ton,2022,1,train,0.19943977591036416,lap .bln 22.xlsx,22,Jagung,
2022-02-01,Jagung,87.0,Ton,2022,2,train,0.09747899159663866,lap .bln 22.xlsx,22,Jagung,
2022-03-01,Jagung,216.0,Ton,2022,3,train,0.24201680672268908,lap .bln 22.xlsx,22,Jagung,
2022-04-01,Jagung,60.0,Ton,2022,4,train,0.06722689075630252,lap .bln 22.xlsx,22,Jagung,
2022-05-01,Jagung,24.0,Ton,2022,5,train,0.02689075630252101,lap .bln 22.xlsx,22,Jagung,
2022-06-01,Jagung,178.0,Ton,2022,6,train,0.19943977591036416,lap .bln 22.xlsx,22,Jagung,
